Test ID,Política de posicionamiento,Política de reemplazo de bloques,N# de bloques,Tamaño de bloques (palabras),Tamaño de conjunto (bloques),Tamaño de cache (bytes),Accesos a memoria,Hits,Misses,Tasa de Hit
1,Direct Mapping,LRU,8,4,1,128,406203,208549,197654,51
2,Fully Associative,LRU,8,4,8,128,406203,243324,162879,60
3,N-way Set Associative,LRU,64,4,8,1024,406203,253812,152391,62
4,Direct Mapping,LRU,64,16,1,4096,406203,276247,129956,68
5,Fully Associative,LRU,128,16,128,8192,406203,283361,122842,70
6,N-way Set Associative,LRU,128,64,16,32768,406203,302335,103868,74
7,Direct Mapping,LRU,128,2048,1,1048576,406203,406167,36,100
8,Fully Associative,LRU,128,2048,128,1048576,406203,406169,34,100
9,N-way Set Associative,LRU,128,2048,16,1048576,406203,406168,35,100
10,Direct Mapping,Random,8,4,1,128,406203,205258,200945,51
11,Fully Associative,Random,8,4,8,128,406203,225482,180721,56
12,N-way Set Associative,Random,64,4,8,1024,406203,245511,160692,60
13,Direct Mapping,Random,64,16,1,4096,406203,272404,133799,67
14,Fully Associative,Random,128,16,128,8192,406203,298907,107296,74
15,N-way Set Associative,Random,128,64,16,32768,406203,317229,88974,78
16,Direct Mapping,Random,128,2048,1,1048576,406203,406166,37,100
17,Fully Associative,Random,128,2048,128,1048576,406203,406170,33,100
18,N-way Set Associative,Random,128,2048,16,1048576,406203,406167,36,100
